[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 9.09 s - in LinkChassisInstructionAssociationReceiverIT
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 7.869 s - in RerouteLoadEventReceiverIT
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 15.889 s - in CoverJobSecurityIT
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 16.933 s - in com.nexttrucking.platform.trips.adaptor.shippers.ShipperResourceApiAdaptorIT
[WARNING] Tests run: 1, Failures: 0, Errors: 0, Skipped: 1, Time elapsed: 0 s - in com.nexttrucking.platform.trips.ap.ApKafkaListenerIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 17.257 s - in com.nexttrucking.platform.trips.ap.processor.LineItemAmendedEventProcessorIT
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.521 s - in com.nexttrucking.platform.trips.chassismanagement.receiver.LinkChassisInstructionAssociationReceiverIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 19.484 s - in com.nexttrucking.platform.trips.client.SwaggerIT
[INFO] Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 46.515 s - in com.nexttrucking.platform.trips.containerjourney.UpdateContainerJourneyStatusReceiverIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: ****3 s - in com.nexttrucking.platform.trips.dao.BusinessEventMapRepositoryIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: ****1 s - in com.nexttrucking.platform.trips.dao.ChassisInstructionAssociationRepositoryIT
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.949 s - in com.nexttrucking.platform.trips.dao.ChassisSwapCardRepositoryIT
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 14.64 s - in com.nexttrucking.platform.trips.dao.ContainerJourneyStatusEntityRepositoryIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: ****9 s - in com.nexttrucking.platform.trips.dao.FreeFlowRepositoryIT
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: ****6 s - in com.nexttrucking.platform.trips.dao.FreeflowLaneRepositoryIT
